id; geom; area; title; pubdate; updatedate; closedate; linqmap_uuid; linqmap_type; linqmap_speed; linqmap_length; linqmap_delay; linqmap_street; linqmap_city; linqmap_country; linqmap_roadtype; linqmap_level; linqmap_turntype; linqmap_blockingalertuuid; linqmap_endnode; linqmap_startnode
1363400; LINESTRING(5.386062 52.149176,5.385906 52.149294,5.385688 52.149508); 53; jam; 20170608070657; NULL; 20170611094926; 453707506; NONE; 0; 45; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; cf660be1-8fa6-371d-b049-0f377acfe3cc; ;
1363402; LINESTRING(5.387884 52.148195,5.38698 52.148641); 53; jam; 20170608070658; NULL; 20170611094926; 454827534; NONE; 0; 79; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 6be24864-206a-3e3d-9d0c-41cc6f4a4936; ;
1363403; LINESTRING(5.386062 52.149176,5.386517 52.148904,5.38698 52.148641); 53; jam; 20170608070658; NULL; 20170611094926; 453847618; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 79ee83e0-0424-3a05-ad2b-933eb955c390; ;
1363404; LINESTRING(5.38698 52.148641,5.387884 52.148195); 53; jam; 20170608070658; NULL; 20170611094926; 454847635; NONE; 0; 79; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 11f2d5fd-5bea-3e07-b428-cc84c0906103; ;
1363405; LINESTRING(5.38698 52.148641,5.386517 52.148904,5.386062 52.149176); 53; jam; 20170608070658; NULL; 20170611094926; 453707646; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; b68774c3-b6c8-3b4a-9399-6f992411bf35; ;
1660534; LINESTRING(5.386762 52.147441,5.384271 52.148939,5.384057 52.149056); 53; jam; 20170615155533; NULL; 20170615180927; 1150469469; NONE; 1.3194444444444444; 258; 178; Kersenbaan; Amersfoort; NL; 2; 4; NONE; ; Leusderweg;
1363401; LINESTRING(5.388666 52.147105,5.389022 52.146332,5.389068 52.14625,5.389136 52.146179,5.389465 52.145953,5.390684 52.14524,5.39075 52.145164); 53; jam; 20170608070658; NULL; 20170611094926; 451027491; NONE; 0; 267; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 3727972a-5cb4-3f2c-9f5f-5484b2c873c5; ;
1363395; LINESTRING(5.39075 52.145164,5.390684 52.14524,5.389465 52.145953,5.389136 52.146179,5.389068 52.14625,5.389022 52.146332,5.388666 52.147105); 53; jam; 20170608070649; NULL; 20170611094926; 450988751; NONE; 0; 267; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; ca7adb3a-67c8-319c-a559-13f192ebda33; ;
1662374; LINESTRING(5.392754 52.143772,5.392308 52.144126,5.391418 52.144738,5.390454 52.145223,5.389459 52.145821,5.384271 52.148939,5.384057 52.149056); 53; jam; 20170615162213; NULL; 20170615183424; 1155094034; NONE; 6.802777777777778; 838; 71; Kersenbaan; Amersfoort; NL; 2; 2; NONE; ; Leusderweg;
1673650; LINESTRING(5.392754 52.143772,5.392308 52.144126,5.391418 52.144738,5.390454 52.145223,5.389459 52.145821,5.384271 52.148939,5.384057 52.149056); 53; jam; 20170616070348; NULL; 20170616091424; 1207767568; NONE; 4.280555555555556; 838; 144; Kersenbaan; Amersfoort; NL; 2; 3; NONE; ; Leusderweg;
